campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,cpc,ctr,inline_link_clicks,inline_link_click_ctr,purchases,purchase_value,checkouts_initiated,purchase_roas,cpa,cvr
6976513156630,ASC - Magic Portraits,2025-12-26,2025-12-26,476.68,25029,17329,1.444342,19.045108,484,0.984876,1.933757,403,1.610132,12.0,379.47,,0.796069,39.723333333333336,0.02977667493796526
6985706012030,1 - Testing,2025-12-26,2025-12-26,38.26,1542,1303,1.183423,24.811933,36,1.062778,2.33463,31,2.010376,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-27,2025-12-27,177.86,8656,7290,1.18738,20.547597,199,0.893769,2.298983,163,1.883087,7.0,309.58,,1.740582,25.40857142857143,0.04294478527607362
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-27,2025-12-27,106.47,5726,4394,1.303141,18.594132,151,0.705099,2.637094,126,2.200489,1.0,23.96,,0.22504,106.47,0.007936507936507936
6976513156630,ASC - Magic Portraits,2025-12-27,2025-12-27,454.24,24964,18167,1.37414,18.195802,524,0.86687,2.099023,431,1.726486,34.0,1314.22,,2.893228,13.36,0.07888631090487239
6985706012030,1 - Testing,2025-12-27,2025-12-27,36.86,1937,1522,1.272668,19.029427,22,1.675455,1.135777,18,0.929272,1.0,23.96,,0.650027,36.86,0.05555555555555555
6972562335830,Magic - Test Sales Campaign,2025-12-28,2025-12-28,241.38,10354,8633,1.199351,23.312729,280,0.862071,2.704269,235,2.269654,13.0,679.19,,2.813779,18.567692307692308,0.05531914893617021
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-28,2025-12-28,184.67,8929,6975,1.280143,20.682047,251,0.735737,2.811065,200,2.239892,3.0,103.87,,0.562463,61.556666666666665,0.015
6976513156630,ASC - Magic Portraits,2025-12-28,2025-12-28,600.22,27013,19650,1.374707,22.219672,640,0.937844,2.36923,514,1.902788,24.0,884.96,,1.474393,25.00916666666667,0.04669260700389105
6985706012030,1 - Testing,2025-12-28,2025-12-28,51.25,1723,1266,1.360979,29.744631,48,1.067708,2.785839,40,2.321532,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-29,2025-12-29,420.29,22041,19789,1.113801,19.068554,433,0.970647,1.964521,329,1.492673,4.0,135.78,,0.323063,105.0725,0.0121580547112462
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-29,2025-12-29,140.63,7546,5732,1.316469,18.636364,182,0.772692,2.411874,133,1.762523,4.0,89.85,,0.638911,35.1575,0.03007518796992481
6976513156630,ASC - Magic Portraits,2025-12-29,2025-12-29,836.91,41650,31768,1.311068,20.093878,791,1.05804,1.89916,630,1.512605,18.0,721.12,,0.861646,46.495,0.02857142857142857
6985706012030,1 - Testing,2025-12-29,2025-12-29,33.23,1169,879,1.32992,28.426005,20,1.6615,1.710864,20,1.710864,1.0,47.92,,1.44207,33.23,0.05
6972562335830,Magic - Test Sales Campaign,2025-12-30,2025-12-30,354.12,17747,16122,1.100794,19.953795,338,1.047692,1.904547,267,1.50448,4.0,189.73,,0.535779,88.53,0.0149812734082397
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-30,2025-12-30,159.29,9925,7847,1.264815,16.04937,211,0.754929,2.125945,154,1.551637,4.0,220.64,,1.385147,39.8225,0.025974025974025976
6976513156630,ASC - Magic Portraits,2025-12-30,2025-12-30,699.16,32905,26049,1.263196,21.247835,635,1.101039,1.929798,512,1.555995,11.0,333.53,,0.477044,63.559999999999995,0.021484375
6985706012030,1 - Testing,2025-12-30,2025-12-30,141.72,4414,3213,1.373794,32.106932,96,1.47625,2.174898,83,1.880381,1.0,41.93,,0.295865,141.72,0.012048192771084338
6972562335830,Magic - Test Sales Campaign,2025-12-31,2025-12-31,296.03,16903,15024,1.125067,17.513459,345,0.858058,2.041058,270,1.59735,6.0,189.77,,0.64105,49.33833333333333,0.022222222222222223
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-31,2025-12-31,164.69,10275,8933,1.150229,16.028224,190,0.866789,1.849148,142,1.381995,2.0,29.95,,0.181857,82.345,0.014084507042253521
