date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,ctr,inline_link_clicks,age,gender,purchases,purchase_value,checkouts_initiated,purchase_roas,cpc,inline_link_click_ctr,cpa,cvr
2025-11-29,2025-11-29,338.698035,5324,3302,1.612356,63.617212,379,7.118708,307,45-54,female,24.0,628.85,,1.856669,0.893662,5.766341,14.112418125,0.0781758957654723
2025-11-29,2025-11-29,31.684494,503,306,1.643791,62.991041,23,4.572565,19,45-54,male,1.0,15.96,,0.503716,1.377587,3.777336,31.684494,0.05263157894736842
2025-11-29,2025-11-29,3.940559,35,20,1.75,112.587396,5,14.285714,6,45-54,unknown,,,,,0.788112,17.142857,,
2025-11-29,2025-11-29,337.927926,5132,3166,1.620973,65.847219,395,7.696804,336,55-64,female,17.0,436.03,,1.290305,0.855514,6.547155,19.878113294117647,0.050595238095238096
2025-11-29,2025-11-29,30.494325,489,296,1.652027,62.360582,20,4.08998,20,55-64,male,2.0,67.83,,2.224348,1.524716,4.08998,15.2471625,0.1
2025-11-29,2025-11-29,3.820542,46,25,1.84,83.055257,4,8.695652,4,55-64,unknown,,,,,0.955135,8.695652,,
2025-11-29,2025-11-29,127.988152,2210,1320,1.674242,57.913191,154,6.968326,136,65+,female,7.0,199.5,,1.558738,0.831092,6.153846,18.284021714285714,0.051470588235294115
2025-11-29,2025-11-29,9.231309,194,131,1.480916,47.584068,9,4.639175,9,65+,male,,,,,1.025701,4.639175,,
2025-11-29,2025-11-29,1.020145,21,12,1.75,48.578318,1,4.761905,1,65+,unknown,,,,,1.020145,4.761905,,
2025-11-29,2025-11-29,0.0,0,0,0.0,,0,,0,Unknown,unknown,,,,,,,,
2025-11-30,2025-11-30,3.40061,65,44,1.477273,52.317077,1,1.538462,0,18-24,female,,,,,3.40061,,,
2025-11-30,2025-11-30,0.800144,24,18,1.333333,33.339314,1,4.166667,1,18-24,male,,,,,0.800144,4.166667,,
2025-11-30,2025-11-30,27.334904,703,386,1.821244,38.88322,16,2.27596,15,25-34,female,4.0,139.79,,5.113975,1.708431,2.133713,6.833726,0.26666666666666666
2025-11-30,2025-11-30,4.910881,186,79,2.35443,26.402586,2,1.075269,2,25-34,male,,,,,2.45544,1.075269,,
2025-11-30,2025-11-30,0.240043,3,1,3.0,80.014354,0,0.0,0,25-34,unknown,,,,,,,,
2025-11-30,2025-11-30,174.861368,3629,2224,1.631745,48.18445,129,3.554698,98,35-44,female,6.0,415.49,,2.376111,1.355514,2.700468,29.143561333333334,0.061224489795918366
2025-11-30,2025-11-30,16.50296,400,216,1.851852,41.257401,9,2.25,9,35-44,male,2.0,59.85,,3.626622,1.833662,2.25,8.25148,0.2222222222222222
2025-11-30,2025-11-30,2.200395,29,20,1.45,75.87568,3,10.344828,3,35-44,unknown,,,,,0.733465,10.344828,,
